,POM121B,MTCO2P11,MTCO1P11,SMG1P6,AC008443.5,RPS10P16,MTCO3P11,VN1R83P,CICP5,AC005682.1,AL022345.3,SEC22B2P,ASLP1,AC094019.2,AL117340.1,OR7E7P,FRG1KP,GUSBP15,PDIA3P2,AC008267.3,AL109840.1,UNC93B8,MTCO1P12,ARHGEF34P,FO538757.1,ENPP7P5,BLZF2P,MTND5P14,AC145285.4,DDX12P,AL353807.3,AL031432.2,AC093162.1,PKD1P1,TMSB4XP2,MTATP6P11,TREML5P,AC099654.2,AL157893.1,AL353743.4,PSPC1P1,AP005018.2,IDSP1,KRT128P,AGAP10P,MSTO2P,AC107982.1,OR8R1P,TNRC18P3,TAS2R15P,AL355864.2,CDCA4P4,MTND4P14,AC090114.3,NAIPP2,PKD1P2,MTND1P23,SEPTIN14P8,AL450326.2,AC103810.3,AL589644.1,WASH4P,SPDYE18,MTND4P23,CR545473.1,PSPHP1,GTF2IP23,MTCO3P12,CYP4F60P,ABHD17AP6,AP001282.2,AGAP7P,GUSBP17,NBPF2P,AC090971.3,AL645929.1,MTND6P5,HNRNPLP2,DPY19L1P1,ANTXRLP1,AC004980.3,AC004381.3,AC112907.2,MTCO2P12,SUMO2P19,AC134349.2,HSD17B1P1,NPIPB10P,AC233699.1,FRG1BP,AL356274.1,ZNF285B,OR52M2P,AC027139.1,GNRHR2P1,TEX28P2,HERC2P10,DDX11L8,H1-12P,AC010615.1,AL513485.1,MTND3P23,AC091849.1,MTND2P28,BX005040.4,AC008752.3,MTND4LP7,AC243725.1,FCGR1CP,MAGOH3P,AC245517.5,MTND1P11,ABHD17AP1,RDM1P2,LAMB2P1,CDRT15P12,AC018804.1,NCF1C,AC055876.2,MTND4P15,AC007663.1,NSFP1,OR7E36P,GOLGA8VP,AC000041.1,AC087359.1,AC133552.4,AC011330.1,AC025287.5,TCP1P1,AC010087.1,OXCT2P1,AL445187.1,AC107075.1,TCAF1P1,FRG1JP,MTCO1P2,Diagnosis
RNA1_FPKM,0.770349361,1.168268791,0.207964078,0.515154702,2.583488709,0.640663531,0.718470213,0.535565918,0.035865588,0.433223056,0.0,5.822852568,0.498852608,0.673239642,0.317515099,0.314001098,0.465937113,2.090586258,1.50839768,0.557881164,0.887623216,0.338052246,75.94004757,0.035058375,0.0,0.0,0.0,0.125402175,0.0,3.046085884,0.443988778,6.230590097,6.883377556,4.797985202,0.0,0.0,0.827523727,0.16048945,0.737853973,0.462172269,0.238924144,10.14753878,1.901543884,0.066146776,6.603661869,4.555401365,0.061109444,0.0,0.472343532,0.171211806,0.368214497,0.233653758,0.0,0.383316178,0.067247978,0.327935184,13.66727052,0.0,0.647847322,90.19839571,0.645872177,5.993172526,1.513186244,0.05828487,0.0,0.0,0.0,8.132881921,0.289407205,16.28391189,2.828042252,9.438910512,0.56342041,0.600924946,0.457880564,0.0,0.310321398,9.462078032,0.367504755,0.043434816,0.0,0.298879901,0.0,1.747264175,4.039437854,0.0,1.414155731,1.466807197,0.204046946,2.714190832,0.193761653,0.134876533,0.0,0.167071036,2.266182251,0.0,0.066395552,0.434110808,0.553604723,0.405317744,0.0,0.457880564,1.313095501,437.3820974,0.57566868,0.557881164,0.270211829,2.550898829,9.234051553,0.177723217,0.0,0.54412519,76.03517474,0.507078369,1.236455686,1.000847594,2.313852752,727.3277677,0.0,0.153808863,0.256265412,1.890141793,0.0,0.132551075,0.907911746,0.091312963,0.117518162,1.252387951,0.0,0.04934303,0.0,0.155261781,0.0,24.28756808,0.177882395,0.341320205,0.226009325,0
RNA102_FPKM,1.918307217,0.554171502,0.591824039,1.003114037,8.577633965,1.063593713,2.239448714,1.524153577,0.306206926,0.256875679,0.0,10.39022895,0.946460615,0.319292077,0.481930785,0.968114657,0.0,1.442333521,1.907669118,0.423331068,0.42096609,0.106883589,72.23591078,0.099777041,0.132198123,0.219261678,0.466851753,0.892216174,0.417467757,1.790075617,0.451272612,12.47814907,11.13301186,3.654569547,0.0,1.349712138,2.485850024,0.342549668,0.699872416,0.633310946,0.113312677,9.534842276,6.413780974,0.188225471,4.924371547,3.21908229,0.057963792,0.197258979,1.848334877,0.0,1.39720837,2.549019566,0.278313605,2.454457208,0.085048454,2.921290849,4.659498131,1.269993205,0.230473777,52.59606337,1.225250897,8.165166209,2.36850912,0.276475878,0.0,2.021235561,0.429361425,3.857583099,0.0,9.167599287,1.463396606,5.555292347,1.425284661,0.570100788,0.79630567,1.15942348,0.147173692,7.584159491,0.551985202,0.082397955,0.0,0.510344877,0.0,0.44195267,7.408552054,0.082805418,2.998713296,0.723583481,0.451663083,1.485463723,0.183787635,0.0,0.0,0.316941872,3.105217266,0.123428223,0.125955587,0.411764646,0.393830645,0.726271969,0.0,2.388917009,1.868254467,402.2179489,0.595722748,0.423331068,1.794362182,2.765575282,14.57753502,0.505724363,1.860566177,0.086019327,48.948769,0.320650767,0.754028173,0.118666032,0.487721231,507.4109643,0.0,0.656581163,0.303900501,1.588190834,0.0,0.08381861,0.861176345,0.0,0.445875326,1.560810536,0.0,0.514878386,0.51611596,0.14726957,0.0,7.440218841,0.43875147,0.728515942,0.0,1
RNA104_FPKM,1.345953513,1.088638871,0.726709194,1.970685595,7.824103305,0.298561824,0.860763695,1.66353805,0.0,0.30278156,0.324751458,8.009867038,1.743189401,0.156871467,0.059187316,1.462992949,1.302582254,2.125265782,1.405383237,0.623849085,0.413649901,0.945008652,1198.198767,0.081671936,0.129900583,0.14363401,0.131050146,0.876410141,0.0,2.562182403,0.265960519,9.354161065,10.72549935,5.167188501,1.409970875,1.436305946,0.257094904,0.261729233,1.6044083,0.717783871,0.0,10.53669488,3.34685869,0.0,6.245452061,4.02839113,0.398633755,0.0,0.770247727,0.159576147,0.428895963,1.4151838,0.656101253,1.250142721,0.125333112,0.678255515,16.71583156,0.415973777,0.150914314,37.7846753,0.601978312,6.178779102,0.987017444,0.0,0.0,3.970759832,0.42189933,38.97570929,0.0,17.01765085,1.916465267,4.990164536,0.175043339,0.559965531,0.426686406,0.0,1.012156017,7.355552603,0.199777903,0.0,0.202858445,0.3899352,0.0,0.86831051,1.756691122,0.162732599,1.472780662,1.968245085,1.077413414,5.544699864,0.0,0.083806828,0.154417794,0.0,6.569688216,0.0,0.12373334,0.0,0.515843003,1.342874442,0.0,0.426762723,0.611928367,721.1945432,0.146278361,1.24769817,0.251848069,2.207167394,15.17319999,0.331290078,0.457057607,1.183068854,63.07753558,0.31507801,0.69951021,0.233207346,0.479116317,495.9332282,0.406685992,0.42999085,0.11942473,2.214270301,0.0,0.247041462,1.268860294,0.212722538,0.109531557,2.242552599,0.0,0.0,0.338097408,0.482263474,0.0,25.69712095,0.696189967,1.033646599,0.631835773,0
RNA108_FPKM,1.137120393,0.47297502,0.526240621,0.65866574,10.45990507,0.486363563,1.142840598,1.626312319,0.217820612,0.274087231,0.0,10.94601788,1.514827801,0.0,0.064257943,0.874069786,0.471699827,1.346553448,3.053624397,0.451717716,0.449087633,0.684358375,91.40707106,0.053229551,0.141029274,0.0,0.853933902,0.380799254,0.0,2.12828919,0.320996275,8.584243843,9.137667449,4.088502463,1.531538161,0.0,1.535692054,0.243673058,0.497986505,0.25991336,0.362761395,7.923728188,4.704896218,0.0,9.44448277,2.87016573,0.061835913,0.315754355,1.673365762,0.173329354,0.279532245,0.946062199,0.475127249,1.357923621,0.045386468,0.46958084,641.7760193,0.451610598,0.040971808,87.11179411,0.653550296,6.001805682,1.608242182,0.0,0.0,4.005103432,0.458261085,5.733221674,0.0,9.85883415,2.081949177,17.27552481,0.760338094,0.608299498,0.386249729,0.0,0.157005247,7.426482715,0.805961446,0.0,0.0,0.242003773,0.0,1.061156865,3.815995533,0.265094865,1.599795446,1.009567954,0.757327588,2.218993813,0.0,0.0,0.33537332,0.0,3.568167405,0.395145499,0.033592431,0.0,0.560318839,0.86610241,0.095132173,0.23166192,1.329335876,384.7256742,0.529707291,0.564727484,1.914487555,2.766471644,8.775986588,0.359842597,0.0,0.367149559,50.50475524,0.0,0.804568073,0.253306521,1.431324633,721.8969842,0.0,0.389241015,0.259373398,1.585248347,0.0,0.044708947,0.919140806,0.138641567,0.356858472,1.764825008,0.0,0.099906609,0.0,0.261945256,0.309179563,9.475231256,0.144031802,0.259115282,0.22880461,0
RNA110_FPKM,0.394545417,0.0,0.0,0.256359319,0.0,0.454369156,0.0,0.0,0.0,0.307202491,0.0,6.423561388,1.886761394,0.0,0.0,0.371113046,0.22023358,0.359328473,1.426374058,0.422003865,0.419551122,0.213048655,97.70406342,0.082869904,0.131753773,0.0,0.0,0.0,0.208032274,1.121501908,0.449807328,4.091285758,2.987595546,1.666789218,0.357617385,0.0,1.695312339,0.037929117,0.232506659,0.242770784,0.225863612,9.595093741,0.799113702,0.125061867,5.653873799,2.900917106,0.0,0.196595945,1.11653637,0.24285248,0.870374051,0.773285078,0.0,0.181181305,0.0,0.143693713,31.90394176,0.421908151,0.268009099,111.8913242,0.0,7.234242588,2.074635157,0.11019758,0.0,2.590165345,0.0,5.080987969,0.273587071,13.74243295,1.215425252,14.35286143,0.0,0.454563921,0.216490971,0.8474878,0.0,5.549935995,0.289565461,0.0,0.0,0.169576449,0.455149399,1.431818045,1.018531363,0.082527089,1.966387605,1.16501729,0.192951285,1.579325898,0.0,0.0,0.0,0.157938277,1.309509675,0.0,0.0,0.0,0.392625612,0.468424379,0.0,0.216425507,0.0,185.7747789,0.049472761,1.688015461,0.0,3.790213445,7.131647167,0.336016335,0.927156184,0.0,64.89103427,0.0,1.043857789,0.118267167,1.944768622,1020.405786,0.0,0.072700533,0.060564235,0.765987326,0.236233859,0.250648528,0.858281724,0.0,0.0,0.301854685,0.0,0.41989637,0.34292078,0.0,0.0,10.52568829,0.0,0.0,0.0,0
RNA114_FPKM,0.904695279,0.205825479,0.091597726,1.146307585,3.697635851,0.282180092,0.451987359,1.257933042,0.126346525,0.190768611,0.0,13.06635173,0.659056324,0.148264116,0.0,0.345689936,0.615665655,2.678374181,3.099997095,0.294862343,0.781906846,0.0,87.15943937,0.077192898,0.245546185,0.0,0.18578937,0.331348759,0.0,1.757035344,0.167592367,7.469851602,10.0386373,3.62971999,1.332655013,0.10444875,0.485863807,1.06018156,0.216658399,1.311686378,0.210468159,9.619104034,5.582870983,0.0,7.871185661,2.743232076,0.0,0.091597726,1.274121845,0.150820394,0.324284534,0.411555225,0.361742645,1.181663549,0.118459051,0.373391003,13.73118951,0.0,0.213974963,106.4167187,0.568948478,6.289665211,1.732668511,0.20532469,0.757913315,1.340376305,0.0,8.058978003,0.127469331,9.852414328,1.13216251,10.04455264,0.827040699,0.423385102,0.13444892,0.430583465,0.0,6.328714868,0.620416326,0.0,0.0,0.210577542,0.424125229,0.92340303,5.218234867,0.0,1.465359121,0.878538457,0.599093775,3.494007482,0.51205363,0.0,0.21891761,0.0,3.548527441,0.286517785,0.0,0.0,0.975226836,1.229671288,0.0,0.0,1.735057754,390.0092859,0.737523325,1.179266512,0.238029465,6.258991643,19.93001217,0.0,0.4319794,0.7987917,52.34809642,0.297790054,0.350061627,0.110205768,0.566081255,899.8348806,0.0,0.338662358,0.0,2.568660844,0.0,0.155649362,0.799779003,0.0,0.310565071,1.341044916,0.0,0.13039875,0.159773203,0.227907632,0.0,14.93052108,0.376013326,0.150334399,0.298637252,0
RNA115_FPKM,0.441099725,0.114733069,0.0,0.532287577,2.219102712,0.0,0.201499044,0.0,0.035222793,0.478431852,0.0,4.218887237,0.367313575,0.0,0.062364898,0.231204296,0.228793217,0.932868438,2.467968399,0.328621836,0.871286369,0.221220227,122.1512595,0.03441312,0.0,0.0,0.0,0.0,0.216117693,2.646111202,0.560336263,4.587150037,3.766085823,2.257487242,0.742667905,0.232776507,0.947741783,0.157535616,0.0,0.201629295,0.0,8.632883438,1.659151702,0.194819939,5.901769586,3.878495849,0.0,0.0,0.869343701,0.252132271,0.81327871,0.229353323,0.172805574,1.128783546,0.0,0.408272932,9.223456235,0.0,0.397452243,70.66989235,0.634296644,3.254387447,0.965504807,0.0,0.0,5.975488888,0.0,5.702386105,0.0,18.22538807,4.037806083,9.719245971,0.368700378,1.061814716,0.074945713,0.959755446,0.0,8.046406224,0.0,0.042656363,0.0,0.058704655,0.0,2.40120394,1.586036542,0.0,1.143164209,0.518360064,0.467379509,2.151933097,0.0,0.353050956,0.0,0.0,3.58393364,0.0,0.065173531,0.426120929,0.54341554,0.618889921,0.092329571,0.0,0.644780886,192.2628246,0.154136197,0.985757763,0.0,2.682890612,6.780948938,0.0,0.0,0.0,103.8907078,0.0,0.346771006,0.491213417,1.388057908,917.5714439,0.285641502,0.0,0.251548806,0.318069871,0.081780385,0.086740968,1.337021412,0.0,0.230710444,1.157046751,0.0,0.145328414,0.0,0.0,0.0,20.11601556,0.20953013,0.0,0.0,0
RNA116_FPKM,0.802709618,0.818045783,0.208045097,1.356113519,5.16865333,1.281659078,0.307982202,0.714366086,0.107619966,0.0,1.045518527,9.84681677,0.873267084,0.336750962,0.0,0.471185141,0.932237268,1.330792183,3.017970649,0.111561475,0.443752905,0.112669177,115.9823544,0.017526869,0.278853428,0.0,0.140660579,0.188143823,0.660327491,2.319036323,0.158612646,3.808813001,9.143288872,2.662537715,1.135134401,0.118554881,0.0,0.361221003,0.492094285,0.462325525,0.0,8.410744299,1.690699209,0.0,6.342933617,2.929455935,0.061101362,0.0,0.97451104,0.171278507,0.184178974,0.0,0.0,1.34202927,0.022413028,0.344053713,13.45817256,0.0,0.0,64.56767856,0.0,3.76287904,0.605431336,0.058277161,0.0,5.175940571,1.358516702,16.85234192,0.0,14.38632239,3.086070585,7.515111513,0.0,0.0,0.30537263,1.222537472,0.0,6.681350157,0.091896,0.043429071,0.0,0.17936661,0.0,0.932115693,2.963267935,0.261954092,2.496367523,0.528225692,0.88451241,2.610652176,0.0,0.179905438,0.0,0.0,6.422891254,0.0,0.0,0.868559859,0.276910199,0.585663546,0.188102313,0.22891,1.313607059,593.1135334,0.104707809,1.004519082,0.270176088,2.551702443,6.980754693,0.177699709,0.981150952,0.362891448,58.51465014,0.507187711,0.485916643,0.0,0.771584729,581.9447163,0.0,0.461606353,0.128182624,2.593110916,0.249872352,0.26520543,0.453895829,0.274045611,0.5877584,1.744119323,0.0,0.148061009,0.0,0.0,0.0,18.98100638,0.640588971,0.682817296,0.33908709,0
RNA126_FPKM,0.421305637,0.589832385,0.682415872,1.012887355,6.520974307,1.94055292,1.450838058,0.721053522,0.036215442,0.0,0.0,6.159141669,0.0,1.019514878,0.0,0.713302999,0.470482137,1.726944104,0.507703825,0.450658451,0.0,0.0,80.83317036,0.017700177,0.0,0.0,0.0,0.0,0.666624967,1.660260755,0.544351405,4.71825732,11.50725541,2.522383845,0.763973375,1.31686126,0.835435803,0.283549609,0.248350478,1.814690072,0.0,8.977183905,3.626596463,0.267168041,3.61573426,2.862954035,0.616984492,0.209992682,0.119237762,0.086440953,0.0,0.0,0.888601079,1.935053896,0.0,0.209974115,4.312257203,0.450658451,0.286150982,10.86178597,0.0,2.63934893,1.222269586,0.0,0.0,6.146205668,0.0,15.98326406,0.0,13.5987185,2.85533024,6.690580064,0.0,0.0,0.924605426,0.246822167,0.313348454,12.05695296,1.453292132,0.131575513,0.0,0.362085043,0.0,0.588102671,1.903146531,0.088150774,1.679748355,1.184756041,0.343395567,5.691547984,0.0,0.0,0.0,0.0,6.10151663,0.0,0.0,0.0,0.0,0.909387573,0.0,2.773816278,0.662952102,282.2694764,0.792599382,1.351845855,2.182467453,2.943539142,8.255788524,0.538370499,0.0,0.549327651,51.23777449,0.0,0.579617261,0.0,0.0,372.7741927,0.0,0.543492959,0.129382588,2.399176191,0.0,0.089229371,0.0,0.138305525,0.474658014,2.727376397,0.0,0.149473052,0.0,0.0,0.0,36.78398402,0.574734915,0.0,0.228213953,0
RNA132_FPKM,1.079511708,1.386682469,1.028554815,0.643677678,3.833106013,1.584306208,2.233652968,2.118975459,0.070938239,0.267860708,0.0,8.228438523,0.86354766,0.166541991,0.188438065,1.087114346,0.691307976,1.691885309,3.481518096,0.662179831,0.877811174,0.55737824,125.6908411,0.086706015,0.275663509,0.076244248,0.0,0.310143377,0.0,3.279814729,0.439185516,4.280138163,6.362442122,7.448275925,0.0,1.524704326,0.0,0.198460434,2.189498636,0.0,0.59090475,11.66302456,3.970808347,0.130831141,6.142294772,3.218723576,0.483605907,0.308555,0.671634254,0.423439288,0.63740424,1.155611587,0.116047415,0.758368732,0.0,0.775375613,11.82967439,0.0,0.080085729,44.20232536,0.639087965,8.072685125,1.272281655,0.0,0.0,3.612812564,0.0,12.78578159,0.286208015,15.27991233,2.543093459,9.032017436,0.557295555,0.356635431,0.603926685,1.047745537,0.306891016,6.707030385,0.514994502,0.0,0.43048822,0.35475699,0.0,1.613137417,0.799105152,0.345432791,2.715375557,0.348206824,0.403657568,2.788057316,0.0,0.0,0.0,0.0,5.728721069,0.128688125,0.0,0.0,0.41068993,0.178199455,0.0,0.905890027,1.948231568,888.1146902,0.051783807,1.214078228,0.801823197,1.081357889,7.042383859,0.0,0.0,1.614730089,49.35608812,0.334315319,0.829918809,0.990059337,1.144349611,470.5021816,0.143970366,1.445328111,0.12671629,2.297076503,0.0,0.131110133,0.449187541,0.0,1.046165768,2.161923502,0.0,0.146419888,0.179469908,0.102363648,0.0,27.27851684,0.457479578,0.0,0.111817667,0
