,SSPOP,NRADDP,LINC01529,Diagnosis
RNA1_FPKM,0.1364628,0.495323555,0.098397146,0
RNA102_FPKM,0.153540718,1.084352895,0.1442567,1
RNA104_FPKM,0.103505933,1.384678368,0.258401827,0
RNA108_FPKM,0.176679473,1.079862653,0.244468747,0
RNA110_FPKM,0.084023141,1.765324065,0.050744967,0
RNA114_FPKM,0.067087752,0.536959428,0.055151395,0
RNA115_FPKM,0.177568942,1.271618427,0.105366688,0
RNA116_FPKM,0.034921862,0.762293346,0.03579472,0
RNA126_FPKM,0.092925636,0.269270133,0.126443943,0
RNA132_FPKM,0.153825464,1.01760749,0.0,0
RNA140_FPKM,0.118894649,1.06141795,0.051557824,1
RNA145_FPKM,0.125476721,1.156117726,0.1233727,0
RNA150_FPKM,0.168044033,1.163933729,0.072866277,1
RNA151_FPKM,0.055051774,1.287082699,0.081665486,0
RNA152_FPKM,0.178025017,1.169476391,0.085213493,0
RNA155_FPKM,0.134274176,1.537078662,0.193637577,0
RNA165_FPKM,0.14036325,1.053211958,0.138464944,0
RNA174_FPKM,0.23401319,1.577957118,0.2078149,1
RNA179_FPKM,0.216548523,1.339328288,0.10173151,0
RNA18_FPKM,0.0,0.197227932,0.0,1
RNA185_FPKM,0.147024439,1.051563573,0.105802809,1
RNA2_FPKM,0.373675691,1.111982638,0.081014912,0
RNA201_FPKM,0.184521047,0.499235089,0.183128345,1
RNA205_FPKM,0.188530347,1.826637529,0.158483523,0
RNA209_FPKM,0.13845631,1.080480821,0.058538828,0
RNA213_FPKM,0.14417225,1.542763862,0.194348436,0
RNA219_FPKM,0.127075178,1.408274545,0.119394006,0
RNA23_FPKM,0.191518181,1.111326807,0.080969338,1
RNA246_FPKM,0.146543673,1.015011235,0.158865836,1
RNA253_FPKM,0.178223345,0.933678033,0.191800345,1
RNA26_FPKM,0.229318554,0.410916786,0.125412673,0
RNA277_FPKM,0.058216793,0.885316373,0.142217475,0
RNA288_FPKM,0.102829468,0.871434034,0.05966967,0
RNA29_FPKM,0.061738678,1.55306913,0.24860422,0
RNA295_FPKM,0.291550498,1.252381466,0.105549777,0
RNA3_FPKM,0.271671618,1.812024363,0.148886948,0
RNA302_FPKM,0.104891211,1.259298217,0.05912801,0
RNA303_FPKM,0.033065538,2.093206082,0.194876654,1
RNA31_FPKM,0.073089942,1.954384345,0.177918098,1
RNA314_FPKM,0.222912395,1.17934733,0.106496154,1
RNA319_FPKM,0.110436205,0.99441173,0.129697471,0
RNA32_FPKM,0.139039727,1.526214805,0.201551727,1
RNA328_FPKM,0.127144957,1.144880646,0.170223443,0
RNA331_FPKM,0.111512955,1.33879726,0.204302716,0
RNA334_FPKM,0.038598403,1.655048856,0.054400682,0
RNA335_FPKM,0.061205334,1.253539261,0.213114179,1
RNA336_FPKM,0.068992074,1.430681405,0.097226525,0
RNA35_FPKM,0.204080684,0.674670405,0.141719072,0
RNA358_FPKM,0.217839133,0.713256263,0.078148898,0
RNA365_FPKM,0.11093391,0.713509329,0.111674132,0
RNA368_FPKM,0.127998449,1.097651186,0.060128182,0
RNA37_FPKM,0.284459908,0.95931034,0.126124789,0
RNA379_FPKM,0.0800096,0.85387087,0.100231999,1
RNA38_FPKM,0.133769645,1.213430498,0.016758962,0
RNA383_FPKM,0.190844334,0.932019797,0.091169873,0
RNA385_FPKM,0.201282299,1.322742557,0.095548522,1
RNA386_FPKM,0.147936537,0.930307169,0.119131306,0
RNA39_FPKM,0.168101572,1.028888015,0.037159076,1
RNA392_FPKM,0.175645243,1.274058941,0.06188795,0
RNA409_FPKM,0.177584126,0.724894942,0.060062691,0
RNA41_FPKM,0.116936511,1.547890026,0.0,0
RNA418_FPKM,0.229731093,0.717874551,0.115314578,0
RNA431_FPKM,0.088104453,1.851043441,0.124159811,1
RNA44_FPKM,0.102806433,0.77138845,0.217323142,1
RNA442_FPKM,0.130194372,1.639320935,0.035797463,0
RNA454_FPKM,0.149510949,1.322630263,0.088721554,0
RNA457_FPKM,0.156367688,1.104287526,0.103701812,0
RNA466_FPKM,0.31148655,1.246531465,0.100601706,0
RNA471_FPKM,0.208102812,1.014988592,0.097756756,0
